M|36|AAPL|NYSE|193|24.2|1557342590.07221
M|38|AAPL|NYSE|235|26.4|1557342590.07238
A|46|AAPL|NYSE|183|26.9|1557342590.07255
T|47|AAPL|NYSE|595|25.7|1557342590.07277
M|46|AAPL|NYSE|205|26.9|1557342590.07291
A|48|AAPL|NYSE|211|26.1|1557342590.07309
A|49|AAPL|NYSE|175|29.4|1557342590.0733
A|50|AAPL|NYSE|151|26.8|1557342590.0735
M|33|AAPL|NYSE|223|23.6|1557342590.0737
A|51|AAPL|NYSE|206|28.2|1557342590.0739
M|36|AAPL|NYSE|212|24.2|1557342590.0741
M|45|AAPL|NYSE|267|30.7|1557342590.07428
B|52|AAPL|NYSE|210|25.4|1557342590.07446
T|53|AAPL|NYSE|808|25.7|1557342590.07465
A|54|AAPL|NYSE|202|26.6|1557342590.0748
M|48|AAPL|NYSE|231|26.1|1557342590.075
A|55|AAPL|NYSE|171|26.2|1557342590.07519
A|56|AAPL|NYSE|193|26.9|1557342590.07538
M|54|AAPL|NYSE|185|26.6|1557342590.07557
A|57|AAPL|NYSE|203|27.8|1557342590.07575
A|58|AAPL|NYSE|216|27|1557342590.07595
B|59|AAPL|NYSE|275|24|1557342590.07614
M|45|AAPL|NYSE|282|30.7|1557342590.07633
T|60|AAPL|NYSE|818|25.7|1557342590.07652
C|54|AAPL|NYSE|185|26.6|1557342590.07667
A|61|AAPL|NYSE|241|27.1|1557342590.07687
B|62|AAPL|NYSE|145|25.3|1557342590.07707
B|63|AAPL|NYSE|204|25.3|1557342590.07728
C|61|AAPL|NYSE|241|27.1|1557342590.07748
A|64|AAPL|NYSE|255|28.9|1557342590.07768
M|63|AAPL|NYSE|186|25.3|1557342590.0779
A|65|AAPL|NYSE|256|27|1557342590.07809
B|66|AAPL|NYSE|206|23.8|1557342590.07828
T|67|AAPL|NYSE|1393|25.6|1557342590.07848
B|68|AAPL|NYSE|197|25.2|1557342590.07862
C|66|AAPL|NYSE|206|23.8|1557342590.07883
B|69|AAPL|NYSE|212|24.8|1557342590.07903
A|70|AAPL|NYSE|210|27.3|1557342590.07923
A|71|AAPL|NYSE|140|28|1557342590.07943
A|72|AAPL|NYSE|166|29.6|1557342590.07963
M|68|AAPL|NYSE|187|25.2|1557342590.07982
A|73|AAPL|NYSE|127|27.5|1557342590.08001
B|74|AAPL|NYSE|302|25.4|1557342590.08021
B|75|AAPL|NYSE|223|25.3|1557342590.08071
B|76|AAPL|NYSE|198|25.4|1557342590.08121
A|77|AAPL|NYSE|266|30|1557342590.08171
M|70|AAPL|NYSE|92|27.3|1557342590.08221
A|78|AAPL|NYSE|81|30.1|1557342590.08271
A|79|AAPL|NYSE|101|25.9|1557342590.08321
B|80|AAPL|NYSE|159|23.5|1557342590.08371
C|80|AAPL|NYSE|167|23.5|1557342590.08421
C|69|AAPL|NYSE|212|24.8|1557342590.08471
A|81|AAPL|NYSE|297|30.9|1557342590.08521
C|78|AAPL|NYSE|251|30.1|1557342590.08571
B|82|AAPL|NYSE|164|25.3|1557342590.08621
B|83|AAPL|NYSE|192|25.3|1557342590.08671
A|84|AAPL|NYSE|91|25.9|1557342590.08721
M|82|AAPL|NYSE|218|25.3|1557342590.08771
A|85|AAPL|NYSE|245|30|1557342590.08821
A|86|AAPL|NYSE|124|30.1|1557342590.08871
A|87|AAPL|NYSE|141|25.9|1557342590.08921
